PassengerId,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Cabin_Num,Group_ID,Group_Size,Is_Alone,Total_Spending,Has_Spent,Is_Child,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Cabin_Deck_A,Cabin_Deck_B,Cabin_Deck_C,Cabin_Deck_D,Cabin_Deck_E,Cabin_Deck_F,Cabin_Deck_G,Cabin_Deck_T,Cabin_Side_P,Cabin_Side_S,Age_Group_0-5,Age_Group_13-18,Age_Group_19-35,Age_Group_36-55,Age_Group_55+,Age_Group_6-12
0012_01,0,31.0,0,32.0,0.0,876.0,0.0,0.0,False,427,0012,1,1,908.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0014_01,0,27.0,0,1286.0,122.0,0.0,0.0,0.0,False,3,0014,1,1,1408.0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0015_01,0,24.0,0,0.0,1.0,0.0,0.0,637.0,False,4,0015,1,1,638.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0016_01,1,45.0,0,0.0,0.0,0.0,0.0,0.0,True,5,0016,1,1,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0017_01,0,0.0,0,0.0,0.0,0.0,0.0,0.0,True,0,0017,2,0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
0017_02,0,14.0,0,412.0,0.0,1.0,0.0,679.0,False,6,0017,2,0,1092.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
0020_01,1,1.0,0,0.0,0.0,0.0,0.0,0.0,False,0,0020,6,0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0020_02,1,49.0,0,0.0,0.0,0.0,0.0,0.0,False,0,0020,6,0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0020_03,1,29.0,0,0.0,0.0,0.0,0.0,0.0,False,0,0020,6,0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0020_04,0,10.0,0,0.0,0.0,0.0,0.0,0.0,True,0,0020,6,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0020_05,1,1.0,0,0.0,0.0,0.0,0.0,0.0,False,0,0020,6,0,0.0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0020_06,0,7.0,0,0.0,0.0,0.0,0.0,0.0,False,0,0020,6,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0022_01,0,21.0,0,980.0,2.0,69.0,0.0,0.0,False,0,0022,1,1,1051.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
0024_01,1,62.0,0,0.0,0.0,0.0,0.0,0.0,True,2,0024,1,1,0.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0025_01,0,15.0,0,0.0,225.0,0.0,998.0,0.0,False,6,0025,1,1,1223.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
0026_01,0,34.0,0,22.0,6073.0,0.0,1438.0,328.0,False,0,0026,1,1,7861.0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
0028_01,0,43.0,0,1125.0,0.0,136.0,48.0,0.0,False,8,0028,1,1,1309.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0030_01,0,32.0,0,0.0,850.0,81.0,437.0,453.0,False,4,0030,1,1,1821.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0031_01,0,47.0,0,214.0,0.0,1411.0,0.0,1229.0,True,9,0031,3,0,2854.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0031_02,0,2.0,0,0.0,0.0,0.0,0.0,0.0,True,9,0031,3,0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
0031_03,0,20.0,0,0.0,0.0,1750.0,990.0,0.0,True,9,0031,3,0,2740.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0034_01,1,28.0,0,0.0,0.0,0.0,0.0,0.0,True,1,0034,1,1,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
0035_01,0,23.0,0,784.0,964.0,0.0,951.0,0.0,False,1,0035,1,1,2699.0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
0036_01,0,15.0,0,0.0,492.0,48.0,20.0,401.0,False,8,0036,1,1,961.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
0038_01,0,20.0,0,554.0,195.0,0.0,2606.0,0.0,False,10,0038,1,1,3355.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0039_01,1,30.0,0,0.0,0.0,0.0,0.0,0.0,False,1,0039,1,1,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0041_01,1,17.0,0,0.0,0.0,0.0,0.0,0.0,True,2,0041,1,1,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
0043_01,0,45.0,0,0.0,164.0,45.0,2511.0,855.0,False,3,0043,1,1,3575.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0044_01,1,55.0,0,0.0,0.0,0.0,0.0,0.0,False,3,0044,3,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0044_02,1,4.0,0,0.0,0.0,0.0,0.0,0.0,True,3,0044,3,0,0.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
0044_03,1,21.0,0,0.0,0.0,0.0,0.0,0.0,True,3,0044,3,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0045_01,0,21.0,0,970.0,0.0,180.0,0.0,64.0,False,10,0045,2,0,1214.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0045_02,1,19.0,0,0.0,0.0,0.0,0.0,0.0,True,10,0045,2,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0050_01,0,35.0,0,790.0,0.0,0.0,0.0,0.0,False,1,0050,1,1,790.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0051_01,0,56.0,0,0.0,112.0,0.0,1379.0,127.0,False,2,0051,1,1,1618.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0052_01,0,27.0,0,4.0,0.0,2.0,4683.0,0.0,False,6,0052,1,1,4689.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0053_01,0,25.0,0,0.0,0.0,1938.0,0.0,1.0,True,11,0053,1,1,1939.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0056_01,0,2.0,0,0.0,0.0,0.0,0.0,0.0,True,1,0056,3,0,0.0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0056_02,1,38.0,0,0.0,0.0,0.0,0.0,0.0,True,1,0056,3,0,0.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0056_03,0,27.0,0,279.0,605.0,3374.0,286.0,3.0,True,1,0056,3,0,4547.0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0058_01,1,36.0,0,0.0,0.0,0.0,0.0,0.0,False,7,0058,1,1,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0061_01,0,22.0,0,45.0,1096.0,148.0,1377.0,1.0,False,12,0061,1,1,2667.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0062_01,0,62.0,0,0.0,592.0,0.0,17.0,25.0,False,13,0062,1,1,634.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0064_01,1,15.0,0,0.0,0.0,0.0,0.0,0.0,True,14,0064,2,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
0064_02,1,33.0,0,0.0,0.0,0.0,0.0,0.0,True,3,0064,2,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0066_01,0,62.0,0,1.0,153.0,197.0,0.0,460.0,False,6,0066,1,1,811.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0067_01,1,0.0,0,0.0,0.0,0.0,0.0,0.0,True,10,0067,3,0,0.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
0067_02,0,18.0,0,1.0,258.0,446.0,0.0,0.0,True,10,0067,3,0,705.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
0067_03,0,21.0,0,1946.0,37.0,0.0,0.0,24.0,False,15,0067,3,0,2007.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0068_01,0,27.0,0,793.0,0.0,2.0,253.0,0.0,False,4,0068,1,1,1048.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0069_01,0,42.0,0,887.0,0.0,9.0,6.0,0.0,True,16,0069,1,1,902.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0070_01,0,19.0,0,190.0,0.0,5.0,1.0,726.0,False,13,0070,1,1,922.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0071_01,0,17.0,0,16.0,2165.0,0.0,0.0,52.0,False,14,0071,1,1,2233.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
0072_01,0,14.0,0,0.0,1.0,0.0,0.0,1063.0,False,17,0072,1,1,1064.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
0073_01,0,37.0,0,46.0,83.0,738.0,0.0,12.0,False,3,0073,1,1,879.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0074_01,0,42.0,0,1.0,8397.0,0.0,0.0,506.0,True,3,0074,1,1,8904.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0076_01,0,27.0,0,147.0,0.0,1018.0,0.0,0.0,True,18,0076,1,1,1165.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0077_01,0,28.0,0,14.0,0.0,1295.0,0.0,0.0,True,15,0077,1,1,1309.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0078_01,0,38.0,0,0.0,5840.0,0.0,321.0,9654.0,False,4,0078,1,1,15815.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0081_01,1,13.0,0,0.0,0.0,0.0,0.0,0.0,False,13,0081,1,1,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
0082_01,0,42.0,0,7406.0,0.0,0.0,0.0,0.0,False,16,0082,3,0,7406.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0082_02,1,2.0,0,0.0,0.0,0.0,0.0,0.0,True,16,0082,3,0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
0082_03,0,8.0,0,0.0,0.0,0.0,0.0,0.0,True,16,0082,3,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
0084_01,0,24.0,0,688.0,0.0,0.0,0.0,17.0,True,14,0084,1,1,705.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0085_01,1,40.0,0,0.0,0.0,0.0,0.0,0.0,True,5,0085,1,1,0.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0086_01,0,43.0,0,211.0,0.0,0.0,638.0,513.0,False,17,0086,1,1,1362.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0088_01,1,45.0,0,0.0,0.0,0.0,0.0,0.0,True,5,0088,1,1,0.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0090_01,1,35.0,0,0.0,0.0,0.0,0.0,0.0,True,15,0090,1,1,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0091_01,1,26.0,0,0.0,0.0,0.0,0.0,0.0,True,16,0091,2,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0091_02,0,27.0,0,1.0,697.0,31.0,188.0,0.0,False,20,0091,2,0,917.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0092_01,0,19.0,0,0.0,0.0,670.0,1.0,34.0,False,9,0092,3,0,705.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0092_02,1,0.0,0,0.0,0.0,0.0,0.0,0.0,True,9,0092,3,0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
0092_03,1,3.0,0,0.0,0.0,0.0,0.0,0.0,True,9,0092,3,0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
0097_01,0,54.0,0,0.0,1208.0,0.0,3.0,637.0,False,2,0097,1,1,1848.0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0098_01,0,26.0,0,0.0,856.0,5.0,32.0,0.0,False,11,0098,2,0,893.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0098_02,0,26.0,0,0.0,2811.0,957.0,0.0,87.0,True,11,0098,2,0,3855.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0099_01,0,23.0,0,311.0,427.0,526.0,37.0,0.0,False,19,0099,2,0,1301.0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0099_02,0,2.0,0,0.0,0.0,0.0,0.0,0.0,True,12,0099,2,0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
0101_01,1,31.0,0,0.0,0.0,0.0,0.0,0.0,True,427,0101,1,1,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0102_01,0,18.0,0,0.0,0.0,0.0,830.0,91.0,False,23,0102,1,1,921.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
0103_01,0,24.0,0,0.0,0.0,0.0,0.0,17.0,True,24,0103,3,0,17.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0103_02,1,9.0,0,0.0,0.0,0.0,0.0,0.0,True,18,0103,3,0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0103_03,1,6.0,0,0.0,0.0,0.0,0.0,0.0,False,18,0103,3,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0105_01,0,27.0,0,0.0,0.0,570.0,2.0,131.0,False,21,0105,1,1,703.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0107_01,0,21.0,0,1743.0,5.0,17.0,0.0,0.0,False,2,0107,1,1,1765.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
0108_01,1,23.0,0,0.0,0.0,0.0,0.0,0.0,False,19,0108,3,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0108_02,0,31.0,0,562.0,0.0,326.0,0.0,0.0,False,19,0108,3,0,888.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0108_03,0,0.0,0,0.0,0.0,0.0,0.0,0.0,True,19,0108,3,0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
0110_01,0,32.0,0,0.0,410.0,6.0,3929.0,764.0,False,427,0110,4,0,5109.0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0110_02,0,40.0,0,0.0,331.0,0.0,0.0,1687.0,False,5,0110,4,0,2018.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0110_03,0,42.0,0,2209.0,11418.0,0.0,1868.0,445.0,True,5,0110,4,0,15940.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0110_04,1,28.0,0,0.0,0.0,0.0,0.0,0.0,True,5,0110,4,0,0.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0111_01,1,29.0,0,0.0,0.0,0.0,0.0,0.0,True,6,0111,1,1,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0112_01,0,48.0,1,0.0,2537.0,87.0,17.0,13.0,True,1,0112,1,1,2654.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0113_01,0,64.0,0,0.0,0.0,804.0,0.0,0.0,True,23,0113,1,1,804.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0114_01,0,27.0,0,82.0,157.0,429.0,238.0,1.0,False,20,0114,1,1,907.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0115_01,0,26.0,0,0.0,0.0,0.0,0.0,0.0,True,24,0115,1,1,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0116_01,0,33.0,0,1.0,2223.0,0.0,12.0,404.0,True,4,0116,1,1,2640.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
0119_01,0,39.0,0,0.0,2344.0,0.0,65.0,6898.0,False,0,0119,2,0,9307.0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0119_02,1,13.0,0,0.0,0.0,0.0,0.0,0.0,True,0,0119,2,0,0.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0120_01,1,24.0,0,0.0,0.0,0.0,0.0,0.0,True,25,0120,1,1,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0122_01,0,29.0,0,0.0,0.0,0.0,699.0,74.0,False,21,0122,1,1,773.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0123_01,0,18.0,0,55.0,597.0,49.0,0.0,1.0,False,27,0123,1,1,702.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
0126_01,1,67.0,0,0.0,0.0,0.0,0.0,0.0,True,27,0126,1,1,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0127_01,0,35.0,0,701.0,0.0,296.0,0.0,25.0,False,7,0127,1,1,1022.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0128_01,0,61.0,1,2353.0,334.0,9.0,316.0,2.0,False,3,0128,2,0,3014.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0128_02,0,45.0,0,2103.0,6.0,0.0,0.0,0.0,False,8,0128,2,0,2109.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0129_01,1,22.0,0,0.0,0.0,0.0,0.0,0.0,True,22,0129,1,1,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0133_01,1,19.0,0,0.0,0.0,0.0,0.0,0.0,True,29,0133,2,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0133_02,0,36.0,0,2738.0,0.0,0.0,0.0,0.0,False,5,0133,2,0,2738.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0134_01,0,19.0,0,0.0,14.0,730.0,0.0,0.0,True,17,0134,1,1,744.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0136_01,0,47.0,0,97.0,418.0,126.0,25.0,55.0,False,23,0136,1,1,721.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0138_01,1,13.0,0,0.0,0.0,0.0,0.0,0.0,True,18,0138,2,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
0138_02,0,34.0,0,0.0,22.0,0.0,564.0,207.0,False,5,0138,2,0,793.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0139_01,1,35.0,0,0.0,0.0,0.0,0.0,0.0,True,6,0139,1,1,0.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0140_01,1,24.0,0,0.0,0.0,0.0,0.0,0.0,True,19,0140,2,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0140_02,0,26.0,0,440.0,0.0,0.0,0.0,462.0,False,29,0140,2,0,902.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0141_01,0,31.0,0,0.0,0.0,97.0,0.0,0.0,False,30,0141,1,1,97.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0144_01,0,20.0,0,0.0,420.0,210.0,0.0,0.0,True,31,0144,1,1,630.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0146_01,0,56.0,0,0.0,0.0,0.0,0.0,0.0,False,25,0146,1,1,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0147_01,1,50.0,0,0.0,0.0,0.0,0.0,0.0,True,26,0147,1,1,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0148_01,0,42.0,0,1072.0,0.0,10.0,0.0,76.0,False,31,0148,1,1,1158.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
